konto 1 (Doris Kruth, id 4111194444, kundnr 1): 499150.0
konto 874 (Mike Efternamn2293, id 200209222397, kundnr 874): 215028.0
konto 875 (Stina Efternamn2370, id 200410082382, kundnr 875): 212104.0
konto 876 (Eva Efternamn3527, id 200502092380, kundnr 876): 212104.0
konto 877 (Ida Efternamn3720, id 200505292383, kundnr 877): 212104.0
konto 878 (Liam Nikolaj Efternamn1047, id 200507172393, kundnr 878): 212104.0
konto 879 (Inger Efternamn2294, id 200507182384, kundnr 879): 215028.0
konto 880 (Kurt Efternamn2354, id 197701112398, kundnr 880): 215006.0
konto 881 (Per Efternamn3898, id 197701162393, kundnr 881): 215006.0
konto 882 (Alf Efternamn2889, id 200410082390, kundnr 882): 212104.0
konto 883 (Oscar Efternamn2563, id 199906022398, kundnr 883): 215028.0
konto 884 (Frida Efternamn1248, id 200106082381, kundnr 884): 215020.0
konto 885 (Elvis Efternamn3864, id 200109112391, kundnr 885): 215027.0
konto 886 (Tuva Efternamn3884, id 200510092380, kundnr 886): 212104.0
konto 887 (Sanna Efternamn2902, id 200605282383, kundnr 887): 325010.0
konto 888 (Lars Efternamn2700, id 200607112398, kundnr 888): 212104.0
konto 889 (Tomas Efternamn1453, id 200612192393, kundnr 889): 215024.0
konto 890 (Emma Efternamn3627, id 200709262380, kundnr 890): 212104.0
konto 891 (Petter Lars Efternamn1861, id 200710062399, kundnr 891): 324024.0
konto 892 (Tessie Sofie Efternamn3067, id 200710282385, kundnr 892): 324024.0
konto 893 (Flisa Viola Efternamn2394, id 200711032383, kundnr 893): 212104.0
konto 894 (Lisa Anita Efternamn1897, id 200711072389, kundnr 894): 215028.0
konto 895 (Magnus Stefan Efternamn3410, id 200711072397, kundnr 895): 215028.0
konto 896 (Jenny Efternamn3758, id 200712192384, kundnr 896): 215006.0
konto 897 (Emil Efternamn1218, id 200802292391, kundnr 897): 325010.0
konto 898 (Nansy Efternamn2076, id 200803082387, kundnr 898): 212104.0
konto 899 (Karla Junie Efternamn3039, id 200803092386, kundnr 899): 215028.0
konto 900 (Otilia Efternamn3830, id 200803112382, kundnr 900): 215028.0
konto 901 (Hannes Efternamn3271, id 200804132397, kundnr 901): 215028.0
konto 902 (Adrian Efternamn3231, id 200805022399, kundnr 902): 215028.0
konto 903 (Bilo Efternamn1465, id 200806102398, kundnr 903): 215028.0
konto 904 (Hanna Efternamn3562, id 200808162382, kundnr 904): 215028.0
konto 905 (Håkan Efternamn2634, id 200808172399, kundnr 905): 215028.0
konto 906 (Gabriella Efternamn3563, id 200808192389, kundnr 906): 215028.0
konto 907 (Ulrik Efternamn2814, id 200808192397, kundnr 907): 215028.0
konto 908 (Marie Efternamn2082, id 200810232389, kundnr 908): 212104.0
konto 909 (Anna Efternamn1507, id 200812222388, kundnr 909): 212104.0
konto 910 (Angelica Karin Efternamn2884, id 200812282390, kundnr 910): 324024.0
konto 911 (Jenny Efternamn3633, id 200906082383, kundnr 911): 215006.0
konto 912 (Ellinor Efternamn1414, id 198203282382, kundnr 912): 212104.0
konto 913 (Jens Efternamn3911, id 197710022398, kundnr 913): 215028.0
konto 914 (Nelli Efternamn3496, id 197907092386, kundnr 914): 215006.0
konto 915 (Hanna-Maria Efternamn1184, id 197910152383, kundnr 915): 215028.0
konto 916 (Ann-Mari Vestergaard Efternamn1179, id 195906113187, kundnr 916): 215020.0
konto 917 (Hübért Efternamn1125, id 196301052392, kundnr 917): 215025.0
konto 918 (Sven Efternamn1788, id 197206179298, kundnr 918): 215002.0
konto 919 (Bengt Ossian Johannes Sven Efternamn1116, id 199206032394, kundnr 919): 215024.0
konto 920 (Lina Efternamn1765, id 199208312380, kundnr 920): 215006.0
konto 921 (Frida Efternamn3805, id 199209252387, kundnr 921): 212104.0
konto 922 (Benita Efternamn3191, id 199301082385, kundnr 922): 215002.0
konto 923 (James Oliver Efternamn3918, id 199401077095, kundnr 923): 215020.0
konto 924 (Jenny Mia Johanna Efternamn2747, id 199401217840, kundnr 924): 215025.0
konto 925 (Malin Elisabeth Efternamn3743, id 199501272380, kundnr 925): 215020.0
konto 926 (Clark Efternamn1715, id 199504182396, kundnr 926): 215024.0
konto 927 (Martin Olof Mark Efternamn2704, id 199608082393, kundnr 927): 215028.0
konto 928 (Siri Efternamn3423, id 199708052387, kundnr 928): 212104.0
konto 929 (Eva Efternamn3339, id 199708292389, kundnr 929): 215006.0
konto 930 (Ibrahim Efternamn2231, id 199710302390, kundnr 930): 215020.0
konto 931 (Kaisa Efternamn2225, id 199801030447, kundnr 931): 215025.0
konto 932 (Jonny Tomas Efternamn2386, id 199801144073, kundnr 932): 215020.0
konto 933 (Wilma Olga Karolina Efternamn2452, id 199801232381, kundnr 933): 215025.0
konto 934 (Ira Maria Efternamn3229, id 199801280364, kundnr 934): 215020.0
konto 935 (Elvy Efternamn2317, id 199805122380, kundnr 935): 215028.0
konto 936 (Olof Efternamn1424, id 199808122395, kundnr 936): 215028.0
konto 937 (Miza Manu kalim Johanna Efternamn3666, id 199812252394, kundnr 937): 215028.0
konto 938 (Karolina Regina Marianne Saga Kim Efternamn2111, id 199901012386, kundnr 938): 215024.0
konto 939 (Malin Efternamn2704, id 199903052380, kundnr 939): 215028.0
konto 940 (Leo Efternamn1372, id 199903252394, kundnr 940): 212104.0
konto 941 (Misha Efternamn3699, id 199903302389, kundnr 941): 215028.0
konto 942 (Minna Efternamn2581, id 199909172380, kundnr 942): 215028.0
konto 943 (Anna Efternamn2711, id 199912202380, kundnr 943): 215024.0
konto 944 (Maja Efternamn3864, id 200002012383, kundnr 944): 215027.0
konto 945 (Manoo Efternamn1859, id 200003042397, kundnr 945): 215028.0
konto 946 (Janice Efternamn2351, id 200004292389, kundnr 946): 212104.0
konto 947 (Sofia Efternamn2833, id 200005142385, kundnr 947): 215024.0
konto 948 (Viktor Efternamn3546, id 200106022395, kundnr 948): 215025.0
konto 949 (August Efternamn1028, id 198309172396, kundnr 949): 325010.0
konto 950 (Eira Efternamn2865, id 198309272386, kundnr 950): 215024.0
konto 951 (Elin Efternamn3427, id 198310062388, kundnr 951): 215024.0
konto 952 (Anna Efternamn3826, id 198310102382, kundnr 952): 325016.0
konto 953 (Dilan Efternamn1575, id 198310112381, kundnr 953): 325010.0
konto 954 (Arwid Efternamn3048, id 198311122397, kundnr 954): 215006.0
konto 955 (Krister Hugo Efternamn1010, id 198401012391, kundnr 955): 324024.0
konto 956 (Susanna Efternamn1577, id 198401042380, kundnr 956): 325010.0
konto 957 (Simon Efternamn3053, id 198401152395, kundnr 957): 325015.0
konto 958 (Ivar Valter Efternamn2332, id 198401182392, kundnr 958): 215025.0
konto 959 (Hasse Efternamn3798, id 198401312395, kundnr 959): 215029.0
konto 960 (Elizabeth Efternamn3431, id 198402052388, kundnr 960): 325010.0
konto 961 (Oskar Efternamn3185, id 198906202398, kundnr 961): 212104.0
konto 962 (Ellika Efternamn2827, id 198906282382, kundnr 962): 212104.0
konto 963 (Caisa Efternamn3446, id 198907142387, kundnr 963): 215028.0
konto 964 (Linn Efternamn2442, id 198908072385, kundnr 964): 215028.0
konto 965 (Robin Mikael Efternamn1488, id 198910132391, kundnr 965): 215020.0
konto 966 (Astrud Efternamn2288, id 199002052380, kundnr 966): 212104.0
konto 967 (Mats Efternamn2447, id 199008202393, kundnr 967): 215006.0
konto 968 (Eva Kristina Alva Efternamn2317, id 199101022383, kundnr 968): 325010.0
konto 969 (Elly Efternamn3865, id 199105012380, kundnr 969): 215020.0
konto 970 (Anna Efternamn1369, id 199201242386, kundnr 970): 215006.0
konto 971 (Amadeus Efternamn1033, id 198402152394, kundnr 971): 325010.0
konto 972 (Jenny Sofia Efternamn3419, id 198404092382, kundnr 972): 215025.0
konto 973 (Andreas Efternamn2501, id 198404092390, kundnr 973): 325010.0
konto 974 (Lars Efternamn1773, id 198405102396, kundnr 974): 215006.0
konto 975 (Allan Efternamn3256, id 198405302392, kundnr 975): 325010.0
konto 976 (Ahmed Efternamn1776, id 198406042393, kundnr 976): 215028.0
konto 977 (Bodil Efternamn3834, id 198407222382, kundnr 977): 212104.0
konto 978 (Jani Efternamn2506, id 198407242398, kundnr 978): 215028.0
konto 979 (Alvin Efternamn1396, id 198408072398, kundnr 979): 325010.0
konto 980 (Emily Efternamn3649, id 198408172388, kundnr 980): 324024.0
konto 981 (Christian Efternamn2853, id 198408272386, kundnr 981): 215028.0
konto 982 (Esa Efternamn1948, id 198409022392, kundnr 982): 212104.0
konto 983 (Mikael Efternamn1217, id 198409242396, kundnr 983): 215028.0
konto 984 (Christina Efternamn1400, id 198410202389, kundnr 984): 324024.0
konto 985 (Arwid Efternamn3443, id 198410252392, kundnr 985): 325010.0
konto 986 (Andy Efternamn1218, id 198412022397, kundnr 986): 324024.0
konto 987 (Sandra Kimberly Efternamn2716, id 198412042387, kundnr 987): 215006.0
konto 988 (Gregoryous Efternamn1401, id 198501012390, kundnr 988): 215024.0
konto 989 (Edna Efternamn1043, id 198501032398, kundnr 989): 325015.0
konto 990 (Felicia Efternamn3063, id 198501062387, kundnr 990): 212104.0
konto 991 (Bert-Sune Efternamn3031, id 198502042396, kundnr 991): 215002.0
konto 992 (Erika Efternamn3651, id 198502062386, kundnr 992): 215028.0
konto 993 (Gabriella Efternamn1590, id 198502082384, kundnr 993): 325010.0
konto 994 (Mun Efternamn2859, id 198503022397, kundnr 994): 212104.0
konto 995 (Fernando Efternamn2164, id 198503152392, kundnr 995): 215020.0
konto 996 (Arian Efternamn1047, id 198503212394, kundnr 996): 324024.0
konto 997 (Lisa Efternamn2516, id 198503232384, kundnr 997): 324024.0
konto 998 (Matilda Efternamn2854, id 198503242383, kundnr 998): 215028.0
konto 999 (Fannie Efternamn2517, id 198504082382, kundnr 999): 324024.0
konto 1000 (Björn Efternamn1785, id 198504232391, kundnr 1000): 215028.0
konto 1001 (Björn Efternamn3449, id 198505052392, kundnr 1001): 212104.0
konto 1002 (Inger Malin Efternamn1787, id 198505202385, kundnr 1002): 215024.0
konto 1003 (Sofia Olivia Efternamn1225, id 198506282386, kundnr 1003): 215006.0
konto 1004 (Laura Efternamn3077, id 198508272385, kundnr 1004): 212104.0
konto 1005 (Ivan Efternamn2348, id 198508282392, kundnr 1005): 325010.0
konto 1006 (Esra Efternamn2525, id 198510022380, kundnr 1006): 324024.0
konto 1007 (Sten Curt Erik Sebastian Karl Guiseppe Uno Oskar Andrustus Efternamn2854, id 198510272399, kundnr 1007): 215020.0
konto 1008 (Nora Efternamn2310, id 198601202388, kundnr 1008): 215028.0
konto 1009 (Ann Efternamn1929, id 198602162383, kundnr 1009): 212104.0
konto 1010 (Liselotte Efternamn1006, id 198603222384, kundnr 1010): 215028.0
konto 1011 (Ophelia Efternamn3799, id 198604112386, kundnr 1011): 215028.0
konto 1012 (Gerd Efternamn3231, id 198606262387, kundnr 1012): 215028.0
konto 1013 (Miguel Valdemar Efternamn3222, id 198607039990, kundnr 1013): 215024.0
konto 1014 (Ritva Efternamn2314, id 198607209882, kundnr 1014): 215028.0
konto 1015 (Viktoria Olga Lillemor Efternamn3410, id 198607272385, kundnr 1015): 212103.0
konto 1016 (Novalie Efternamn1189, id 198608012384, kundnr 1016): 215028.0
konto 1017 (Jeanne Dominique Efternamn2680, id 198608072388, kundnr 1017): 215025.0
konto 1018 (Dominique Jean Efternamn2680, id 198608132398, kundnr 1018): 215025.0
konto 1019 (Filip Nelson Efternamn1372, id 198608152396, kundnr 1019): 212104.0
konto 1020 (David Efternamn1200, id 198609012391, kundnr 1020): 215028.0
konto 1021 (Pamela Efternamn1185, id 198609092385, kundnr 1021): 324024.0
konto 1022 (Cevin Efternamn3042, id 198609122398, kundnr 1022): 324024.0
konto 1023 (Petrius Efternamn2324, id 198610102397, kundnr 1023): 215002.0
konto 1024 (Pia-Mia Efternamn2696, id 198611032387, kundnr 1024): 215025.0
konto 1025 (Christian Efternamn2487, id 198611052393, kundnr 1025): 324024.0
konto 1026 (Christofer Efternamn2698, id 198611132393, kundnr 1026): 324024.0
konto 1027 (Wilma Efternamn3631, id 198612022387, kundnr 1027): 212104.0
konto 1028 (Claus Efternamn3632, id 198612132392, kundnr 1028): 324024.0
konto 1029 (Dag Efternamn2685, id 198702272397, kundnr 1029): 215028.0
konto 1030 (Nicole Havanna Efternamn1565, id 198703082381, kundnr 1030): 325010.0
konto 1031 (Minna Efternamn2475, id 198703232382, kundnr 1031): 215006.0
konto 1032 (David Efternamn1369, id 198704122392, kundnr 1032): 215028.0
konto 1033 (Jerry Efternamn2853, id 198706082396, kundnr 1033): 215024.0
konto 1034 (Annie Efternamn2686, id 198706302380, kundnr 1034): 212104.0
konto 1035 (Malkolm Efternamn2478, id 198709182391, kundnr 1035): 212104.0
konto 1036 (Diego Efternamn2321, id 198709242393, kundnr 1036): 215028.0
konto 1037 (Katja Efternamn1020, id 198710212385, kundnr 1037): 215028.0
konto 1038 (Hannah Efternamn1759, id 198710282388, kundnr 1038): 215028.0
konto 1039 (Angela Efternamn2482, id 198711172380, kundnr 1039): 215028.0
konto 1040 (Dorit Efternamn1280, id 198711202385, kundnr 1040): 324024.0
konto 1041 (Hedda Efternamn1708, id 198712032385, kundnr 1041): 215028.0
konto 1042 (Hugo Efternamn1962, id 198712232399, kundnr 1042): 324024.0
konto 1043 (Lisa Efternamn3842, id 198801282388, kundnr 1043): 215028.0
konto 1044 (Anna Efternamn3600, id 198801292387, kundnr 1044): 212104.0
konto 1045 (Emmy Felizia Efternamn2274, id 198802102387, kundnr 1045): 215028.0
konto 1046 (Iris Efternamn2843, id 198802132384, kundnr 1046): 215028.0
konto 1047 (Edin Efternamn2474, id 198802142391, kundnr 1047): 215028.0
konto 1048 (Effe Efternamn2696, id 198804039330, kundnr 1048): 215028.0
konto 1049 (Egon Efternamn3618, id 198804302399, kundnr 1049): 215028.0
konto 1050 (Eddie Efternamn1359, id 198805192393, kundnr 1050): 215028.0
konto 1051 (Ahmed Efternamn3790, id 198806072396, kundnr 1051): 215028.0
konto 1052 (Ärla Efternamn3236, id 198806222389, kundnr 1052): 215028.0
konto 1053 (Thilde Efternamn1734, id 198807022382, kundnr 1053): 215028.0
konto 1054 (Maximilian Efternamn2305, id 198807182392, kundnr 1054): 215028.0
konto 1055 (Hilda Efternamn3807, id 198807262384, kundnr 1055): 215028.0
konto 1056 (Elliot Efternamn1420, id 198807262392, kundnr 1056): 215028.0
konto 1057 (Ängla Efternamn1613, id 198809062386, kundnr 1057): 215028.0
konto 1058 (Edmond Efternamn3279, id 198809182390, kundnr 1058): 215028.0
konto 1059 (Elvin Efternamn1663, id 198810302391, kundnr 1059): 215028.0
konto 1060 (Hugh Efternamn1175, id 198811152399, kundnr 1060): 215028.0
konto 1061 (Ilse Efternamn2695, id 198812042383, kundnr 1061): 215028.0
konto 1062 (William Efternamn2132, id 198812082397, kundnr 1062): 215028.0
konto 1063 (Stella Efternamn2360, id 198812242389, kundnr 1063): 215028.0
konto 1064 (Klara Efternamn1943, id 198812302381, kundnr 1064): 212104.0
konto 1065 (Ines Efternamn3796, id 198901132384, kundnr 1065): 215028.0
konto 1066 (Filip Efternamn2826, id 198904082396, kundnr 1066): 215028.0
konto 1067 (Freddy Efternamn3109, id 198905022391, kundnr 1067): 215028.0
konto 1068 (Marta Efternamn2371, id 198205222386, kundnr 1068): 212104.0
konto 1069 (Fia-Stina Anna Efternamn3876, id 198206172382, kundnr 1069): 325010.0
konto 1070 (Helena Efternamn1634, id 198206182381, kundnr 1070): 212104.0
konto 1071 (Tanja Efternamn1635, id 198206212386, kundnr 1071): 215006.0
konto 1072 (Torben Efternamn2919, id 198206292396, kundnr 1072): 215006.0
konto 1073 (Natalie Birgitta Efternamn2749, id 198207012389, kundnr 1073): 325010.0
konto 1074 (Nadia Efternamn2136, id 198207102388, kundnr 1074): 215006.0
konto 1075 (Cassandra Natalia Efternamn3650, id 198207152383, kundnr 1075): 215028.0
konto 1076 (Karl-eric Efternamn2373, id 198208012396, kundnr 1076): 215006.0
konto 1077 (Ulf Efternamn2001, id 198208222391, kundnr 1077): 212104.0
konto 1078 (Maud Efternamn3859, id 198209052383, kundnr 1078): 212104.0
konto 1079 (Gilbert Efternamn1819, id 198209122392, kundnr 1079): 215006.0
konto 1080 (Hilda Efternamn1077, id 198210262385, kundnr 1080): 215028.0
konto 1081 (Julia Maria Efternamn3307, id 198211289288, kundnr 1081): 215028.0
konto 1082 (Hanna Efternamn2374, id 198212022381, kundnr 1082): 215028.0
konto 1083 (Melissa Efternamn3419, id 198212112380, kundnr 1083): 215028.0
konto 1084 (Juanita Efternamn2566, id 198212222387, kundnr 1084): 212104.0
konto 1085 (Anna-Lena Sofia Efternamn2722, id 198301012384, kundnr 1085): 215032.0
konto 1086 (Rosa Ulrika Efternamn2178, id 198301182385, kundnr 1086): 325010.0
konto 1087 (Adel Efternamn2567, id 198301182393, kundnr 1087): 212104.0
konto 1088 (Camilla Efternamn2849, id 198301272384, kundnr 1088): 324024.0
konto 1089 (Merve Efternamn3639, id 198302072387, kundnr 1089): 325010.0
konto 1090 (Doris Efternamn3464, id 198303022381, kundnr 1090): 212104.0
konto 1091 (Katarina Efternamn3851, id 198305182381, kundnr 1091): 215020.0
konto 1092 (Lina Efternamn1207, id 198305212386, kundnr 1092): 212104.0
konto 1093 (Malin Efternamn2317, id 198306062384, kundnr 1093): 215028.0
konto 1094 (Emil Efternamn3249, id 198307259294, kundnr 1094): 215032.0
konto 1095 (Lars Efternamn1951, id 198307242399, kundnr 1095): 324024.0
konto 1096 (Eira Efternamn1765, id 198307302383, kundnr 1096): 325010.0
konto 1097 (Malin Efternamn3824, id 198308112385, kundnr 1097): 215020.0
konto 1098 (Dalia Efternamn1032, id 198402102381, kundnr 1098): 325010.0
konto 1099 (Alve Efternamn1396, id 198407162398, kundnr 1099): 325010.0
konto 1100 (Ebba-Märta Efternamn3838, id 198412182381, kundnr 1100): 215027.0
konto 1101 (Maria Efternamn2859, id 198412312384, kundnr 1101): 212104.0
konto 1102 (Atle Efternamn1220, id 198501142395, kundnr 1102): 324024.0
konto 1103 (Bo Efternamn2528, id 198511032396, kundnr 1103): 324024.0
konto 1104 (Mike Efternamn3611, id 198605132391, kundnr 1104): 215028.0
konto 1105 (Thea Fatma Efternamn2486, id 198610142385, kundnr 1105): 324024.0
konto 1106 (Bark Efternamn1384, id 198611122394, kundnr 1106): 215028.0
konto 1107 (Dante Efternamn1940, id 198705062399, kundnr 1107): 215028.0
konto 1108 (Jerker Efternamn1379, id 198706172395, kundnr 1108): 324024.0
konto 1109 (Lesskulla Efternamn1074, id 198208212384, kundnr 1109): 215020.0
konto 1110 (Kaspar Efternamn3486, id 198209092397, kundnr 1110): 324024.0
konto 1111 (Paul Efternamn2330, id 198302142396, kundnr 1111): 215028.0
konto 1112 (Matilda Efternamn2355, id 197911072382, kundnr 1112): 215016.0
konto 1113 (Zio Efternamn2542, id 197912032385, kundnr 1113): 215024.0
konto 1114 (Hannes Valentino Efternamn1055, id 197909032398, kundnr 1114): 325010.0
konto 1115 (Tintin Efternamn2035, id 197702232393, kundnr 1115): 212104.0
konto 1116 (John Efternamn2223, id 197704062392, kundnr 1116): 215028.0
konto 1117 (Kenneth Otto Folke Gunnar Efternamn2140, id 194103027092, kundnr 1117): 324024.0
konto 1118 (John Efternamn3737, id 194205167051, kundnr 1118): 215006.0
konto 1119 (Lina Efternamn2619, id 194805192749, kundnr 1119): 215020.0
konto 1120 (Elsa Alice * Vivi Efternamn1135, id 195807112643, kundnr 1120): 215027.0
konto 1121 (Linnea Marie Efternamn2420, id 196107102862, kundnr 1121): 215025.0
konto 1122 (Ingrid Efternamn3343, id 196801029288, kundnr 1122): 325010.0
konto 1123 (Emmi Efternamn2686, id 197607042384, kundnr 1123): 215028.0
konto 1124 (Lena Efternamn2220, id 197609172387, kundnr 1124): 215028.0
konto 1125 (Rudolf Valentino Efternamn1074, id 197609232397, kundnr 1125): 212103.0
konto 1126 (Britta Ingeborg Efternamn1214, id 197612032388, kundnr 1126): 215024.0
konto 1127 (Mark Efternamn3968, id 200212252399, kundnr 1127): 215020.0
konto 1128 (Torsten Efternamn3672, id 198107282397, kundnr 1128): 212104.0
konto 1129 (Peder Efternamn3477, id 198112042398, kundnr 1129): 212104.0
konto 1130 (Kristina Efternamn3798, id 197709022383, kundnr 1130): 215028.0
konto 1131 (Börje Efternamn3250, id 197709072396, kundnr 1131): 215028.0
konto 1132 (Christian Efternamn3232, id 197709202399, kundnr 1132): 215024.0
konto 1133 (Jonah Efternamn1806, id 197805092397, kundnr 1133): 215028.0
konto 1134 (Magda Louise Efternamn3297, id 197806132382, kundnr 1134): 215016.0
konto 1135 (Zack Efternamn1796, id 197806242397, kundnr 1135): 212104.0
konto 1136 (Maya Nicolina Efternamn1053, id 197808092386, kundnr 1136): 324024.0
konto 1137 (Maija Efternamn2768, id 197809072387, kundnr 1137): 212104.0
konto 1138 (Jonna Efternamn2374, id 197903022387, kundnr 1138): 324024.0
konto 1139 (Mats Efternamn3044, id 197911272396, kundnr 1139): 215006.0
konto 1140 (Håkan Jarl Efternamn1060, id 197912122392, kundnr 1140): 215028.0
konto 1141 (Greger Efternamn1245, id 198003072397, kundnr 1141): 215024.0
konto 1142 (Nick Efternamn1259, id 198106022398, kundnr 1142): 215006.0
konto 1143 (Jonathan Efternamn3296, id 198009269252, kundnr 1143): 215006.0
konto 1144 (Marita Efternamn2718, id 197707222381, kundnr 1144): 215006.0
konto 1145 (Sirpa Efternamn2225, id 197708222380, kundnr 1145): 215028.0
konto 1146 (Paula Efternamn2576, id 197710182382, kundnr 1146): 215028.0
konto 1147 (Erik Efternamn2041, id 197712162390, kundnr 1147): 324023.0
konto 1148 (Conny Efternamn3266, id 197801172391, kundnr 1148): 215028.0
konto 1149 (Sam Efternamn3132, id 197805112393, kundnr 1149): 215028.0
konto 1150 (Lars Efternamn2706, id 197806062399, kundnr 1150): 215028.0
konto 1151 (Henry Efternamn2922, id 197903022395, kundnr 1151): 212104.0
konto 1152 (Åke Efternamn2729, id 197906012393, kundnr 1152): 215024.0
konto 1153 (Colby Efternamn2351, id 197908142396, kundnr 1153): 212104.0
konto 1154 (Falipe Efternamn3281, id 197910242390, kundnr 1154): 212104.0
konto 1155 (Josef Efternamn3274, id 194103319036, kundnr 1155): 324023.0
konto 1156 (Jörgen Efternamn1597, id 194401038296, kundnr 1156): 215020.0
konto 1157 (Anna Efternamn1308, id 194704187006, kundnr 1157): 215020.0
konto 1158 (Bill Efternamn2370, id 194909162150, kundnr 1158): 215025.0
konto 1159 (Eva Cecilia Efternamn2418, id 195410101801, kundnr 1159): 215032.0
konto 1160 (Anna Kristina Efternamn3277, id 195503071887, kundnr 1160): 212104.0
konto 1161 (Pernilla Efternamn1627, id 196102083141, kundnr 1161): 325010.0
konto 1162 (Per Gustaf Efternamn2854, id 197406079298, kundnr 1162): 324024.0
konto 1163 (Tina Efternamn2036, id 200801192386, kundnr 1163): 325010.0
konto 1164 (Albin Efternamn2854, id 200806242392, kundnr 1164): 212104.0
konto 1165 (Markus Efternamn2915, id 198203202398, kundnr 1165): 215029.0
konto 1166 (Johan Efternamn3521, id 197709262393, kundnr 1166): 215028.0
konto 1167 (Petra Efternamn2014, id 199810172388, kundnr 1167): 215029.0
konto 1168 (Anna Eva Karin Efternamn2455, id 200001317585, kundnr 1168): 215002.0
konto 1169 (Nina Efternamn2450, id 200006182380, kundnr 1169): 215006.0
konto 1170 (Johanna Efternamn3425, id 198309122383, kundnr 1170): 215028.0
konto 1171 (Alec Efternamn1386, id 198312192399, kundnr 1171): 325010.0
konto 1172 (Lena Gurli Birgitta Efternamn1369, id 198406122385, kundnr 1172): 215032.0
konto 1173 (Angelina Efternamn3836, id 198409122382, kundnr 1173): 215028.0
konto 1174 (Emilie Efternamn3264, id 198502122388, kundnr 1174): 324024.0
konto 1175 (Bengt Efternamn1781, id 198502212395, kundnr 1175): 215028.0
konto 1176 (Laura Kristina Efternamn1179, id 198503022389, kundnr 1176): 215020.0
konto 1177 (Martin Efternamn2317, id 198503122395, kundnr 1177): 324024.0
konto 1178 (Berth Efternamn2884, id 198504182398, kundnr 1178): 324024.0
konto 1179 (Emma Efternamn3457, id 198510122388, kundnr 1179): 215028.0
konto 1180 (Bobby Efternamn2529, id 198511252390, kundnr 1180): 324024.0
konto 1181 (Irma Efternamn1938, id 198704092389, kundnr 1181): 325010.0
konto 1182 (Gabriella Efternamn3812, id 198704242380, kundnr 1182): 215028.0
konto 1183 (Maria Izabella Caritza Efternamn2693, id 198708312387, kundnr 1183): 215029.0
konto 1184 (Idun Efternamn3022, id 198811092389, kundnr 1184): 215028.0
konto 1185 (Susan Ann Efternamn3303, id 198206082383, kundnr 1185): 212104.0
konto 1186 (Dagmar Efternamn1076, id 198210232388, kundnr 1186): 212104.0
konto 1187 (Jonathan Efternamn2854, id 198211012391, kundnr 1187): 215020.0
konto 1188 (Khalid Efternamn3880, id 198301062397, kundnr 1188): 212104.0
konto 1189 (Enok Efternamn3628, id 198304082392, kundnr 1189): 325010.0
konto 1190 (Hans Göran Efternamn3066, id 198501152394, kundnr 1190): 324023.0
konto 1191 (Britta Efternamn3072, id 198504202386, kundnr 1191): 215020.0
konto 1192 (Ulf Efternamn3073, id 198509222397, kundnr 1192): 215028.0
konto 1193 (Evelina Efternamn3608, id 198601112389, kundnr 1193): 324024.0
konto 1194 (Erika Efternamn3404, id 198603232383, kundnr 1194): 212104.0
konto 1195 (Pontus Efternamn3798, id 198604272396, kundnr 1195): 215028.0
konto 1196 (Charlie Efternamn2323, id 198610082391, kundnr 1196): 324024.0
konto 1197 (Anna Efternamn1945, id 198612192388, kundnr 1197): 215028.0
konto 1198 (Karl Efternamn3619, id 198703102395, kundnr 1198): 215028.0
konto 1199 (Susa Efternamn1566, id 198704282386, kundnr 1199): 215016.0
konto 1200 (Greta Efternamn3416, id 198708292381, kundnr 1200): 215028.0
konto 1201 (Didrik Efternamn3986, id 198808102399, kundnr 1201): 215028.0
konto 1202 (Robin Efternamn3604, id 198810242399, kundnr 1202): 215028.0
konto 1203 (Desirée Efternamn3839, id 198301292382, kundnr 1203): 325010.0
konto 1204 (Tyko Efternamn3661, id 198302132397, kundnr 1204): 215006.0
konto 1205 (Elicia Efternamn2705, id 198307192388, kundnr 1205): 325010.0
konto 1206 (Anders Efternamn2862, id 198307222391, kundnr 1206): 215028.0
konto 1207 (Cecile Efternamn3508, id 197607052383, kundnr 1207): 212104.0
konto 1208 (Maud Efternamn2849, id 197607192387, kundnr 1208): 215028.0
konto 1209 (Baran Efternamn3509, id 197609202390, kundnr 1209): 215028.0
konto 1210 (Hjalmar Efternamn2317, id 197612282397, kundnr 1210): 215024.0
konto 1211 (Östen Efternamn3045, id 197701062395, kundnr 1211): 215032.0
konto 1212 (Bea Efternamn2082, id 200808202386, kundnr 1212): 212104.0
konto 1213 (Annli Efternamn1746, id 198008292388, kundnr 1213): 212104.0
konto 1214 (Anna Efternamn2712, id 198103062389, kundnr 1214): 215006.0
konto 1215 (Hulda Efternamn2572, id 199809042386, kundnr 1215): 212104.0
konto 1216 (Elvina Efternamn1770, id 198401032381, kundnr 1216): 325010.0
konto 1217 (Manda Efternamn1335, id 198906262384, kundnr 1217): 215028.0
konto 1218 (Alexis Efternamn3055, id 198403032397, kundnr 1218): 325010.0
konto 1219 (Jacob Einar Efternamn1034, id 198405222392, kundnr 1219): 325010.0
konto 1220 (Alvar Efternamn2874, id 198407022394, kundnr 1220): 325010.0
konto 1221 (Arian Efternamn2337, id 198408022393, kundnr 1221): 325010.0
konto 1222 (Lena Efternamn2678, id 197911302383, kundnr 1222): 325016.0
konto 1223 (Javier Efternamn1799, id 197912032393, kundnr 1223): 215024.0
